,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
109,2016-04-19,0.238,2269763007714.0,8.731,0.0731,0.00621,8.585,5792383.0,32944.0,30156012963421.0
110,2016-04-20,0.24,2289254378967.0,8.47,0.0937,0.00691,8.461,4005124.0,37181.0,30871752725768.0
111,2016-04-21,0.239,2219076317705.0,8.165,0.0638,0.00519,7.993,6028601.0,31678.0,29740314823373.0
112,2016-04-22,0.238,2314448469916.0,8.156,0.0603,0.0049,8.003,8115953.0,31845.0,30869146732545.0
113,2016-04-23,0.241,2282030666868.0,8.272,0.0696,0.0054,8.178,3068979.0,34046.0,30604025165805.0
114,2016-04-24,0.236,2397721099664.0,7.885,0.0722,0.00525,7.793,5555361.0,35430.0,31524069461265.0
115,2016-04-25,0.242,2327815891337.0,7.455,0.0678,0.00486,7.315,8511150.0,32582.0,31493382681039.0
116,2016-04-26,0.238,2343464828717.0,7.753,0.0628,0.00459,7.6,5941537.0,33847.0,31083174173488.0
117,2016-04-27,0.239,2397904794417.0,7.542,0.0698,0.00489,7.42,5776672.0,34343.0,32024006272664.0
118,2016-04-28,0.239,2445448200824.0,7.533,0.0724,0.00468,7.458,4535664.0,37332.0,32660935988733.0
119,2016-04-29,0.238,2541228932038.0,8.278,0.098,0.0058,8.259,22365273.0,45769.0,33709009937442.0
120,2016-04-30,0.242,2519767225621.0,8.798,0.115,0.00808,8.711,15377382.0,39578.0,34484421796505.0
121,2016-05-01,0.237,2435219840603.0,9.714,0.0839,0.00629,9.575,18372215.0,41748.0,32280889382512.0
122,2016-05-02,0.238,2570410522390.0,9.797,0.0823,0.00683,9.629,13579741.0,37821.0,34161609204975.0
123,2016-05-03,0.241,2540344787717.0,9.627,0.0847,0.00695,9.541,10493648.0,37484.0,34166289192929.0
124,2016-05-04,0.239,2548701166409.0,9.62,0.095,0.00768,9.552,10552199.0,38707.0,33872427102189.0
125,2016-05-05,0.239,2558523712818.0,9.691,0.108,0.00825,9.68,19820303.0,41271.0,34080544388464.0
126,2016-05-06,0.24,2546813749285.0,9.462,0.0747,0.0063,9.32,14177462.0,35864.0,34085336706042.0
127,2016-05-07,0.238,2596710290954.0,9.344,0.0884,0.0067,9.285,13220725.0,40063.0,34463404033410.0
128,2016-05-08,0.238,2619743999545.0,9.489,0.0809,0.00644,9.429,19136488.0,38560.0,34882607577232.0
129,2016-05-09,0.24,2678717440177.0,9.413,0.0852,0.00635,9.326,19288484.0,40684.0,35703011453120.0
130,2016-05-10,0.243,2576603383368.0,9.728,0.0985,0.0075,9.683,29567998.0,40811.0,34839727897735.0
131,2016-05-11,0.236,2640637107458.0,10.206,0.118,0.00884,10.127,33080816.0,45002.0,34608512198166.0
132,2016-05-12,0.237,2813675684482.0,10.869,0.13,0.00956,10.567,85905937.0,47739.0,36814650249264.0
133,2016-05-13,0.242,2768627001262.0,10.409,0.108,0.0079,10.192,60287549.0,45745.0,36846069041979.0
134,2016-05-14,0.239,2788563368348.0,10.162,0.0958,0.00737,10.134,15161844.0,43073.0,37114899680922.0
135,2016-05-15,0.242,2781613597347.0,10.59,0.0854,0.00774,10.492,15656991.0,37424.0,37376623466503.0
136,2016-05-16,0.237,2777192964685.0,11.887,0.086,0.00828,11.72,15510590.0,40309.0,36463139572998.0
137,2016-05-17,0.238,2892843814287.0,13.139,0.106,0.00989,12.976,23622280.0,46033.0,37900960505087.0
138,2016-05-18,0.24,2959044583329.0,14.002,0.102,0.0104,13.922,37058161.0,44523.0,39517401677764.0
139,2016-05-19,0.239,3019774847808.0,14.488,0.116,0.0121,14.335,32438345.0,45177.0,40047746083290.0
140,2016-05-20,0.241,3043448414846.0,13.619,0.11,0.0112,13.618,13588388.0,43621.0,40654525787850.0
141,2016-05-21,0.237,3033650218078.0,14.102,0.0877,0.0104,14.049,9444911.0,38895.0,40058981490723.0
142,2016-05-22,0.239,3047866153189.0,14.323,0.0905,0.00951,14.058,17602748.0,43806.0,40332255283091.0
143,2016-05-23,0.24,3097543437134.0,13.224,0.0875,0.00866,13.002,22921619.0,42911.0,41104663045275.0
144,2016-05-24,0.239,3126327811496.0,12.415,0.0987,0.00874,12.401,21290036.0,46443.0,41015841728828.0
145,2016-05-25,0.239,3161298629924.0,6.539,0.109,0.00864,12.434,15944212.0,51147.0,41950285242071.0
146,2016-05-26,0.238,3175261885373.0,11.466,0.115,0.00877,11.309,29573517.0,49006.0,41742234718648.0
147,2016-05-27,0.239,3252982017093.0,1.088,0.221,0.0131,11.339,25092657.0,70148.0,42703696493831.0
148,2016-05-28,0.24,3275694018885.0,7.086,0.119,0.0102,12.058,12122160.0,45890.0,43618542041733.0
149,2016-05-29,0.24,3266297530676.0,12.442,0.0975,0.00923,12.443,12599505.0,42927.0,43392447615367.0
150,2016-05-30,0.243,3226586976636.0,13.187,0.0969,0.00931,13.263,13544461.0,44386.0,43586142396051.0
151,2016-05-31,0.238,3169792296894.0,13.884,0.0953,0.0103,13.882,10938509.0,42221.0,42000407824271.0
152,2016-06-01,0.237,3240178229617.0,13.832,0.079,0.00901,13.819,6903093.0,39666.0,42903044759328.0
153,2016-06-02,0.239,3413333089837.0,13.66,0.0768,0.00864,13.637,8543326.0,39834.0,44992049996386.0
154,2016-06-03,0.239,3396866078719.0,9.642,0.0745,0.00877,13.627,6339604.0,37875.0,44999428189553.0
155,2016-06-04,0.241,3326191023565.0,13.731,0.0744,0.00863,13.724,6245415.0,37896.0,44880971424897.0
156,2016-06-05,0.236,3441892302428.0,13.845,0.0785,0.00919,13.84,6646107.0,38957.0,45278057471814.0
157,2016-06-06,0.24,3465442263387.0,7.2,0.205,0.0205,14.029,14047226.0,46141.0,46207450596924.0
158,2016-06-07,0.236,3478174070680.0,14.462,0.0863,0.0102,14.468,31136611.0,40433.0,45850620155155.0
159,2016-06-08,0.236,3639714923172.0,14.377,0.0881,0.0104,14.372,6643458.0,39854.0,48157817866211.0
